Gene	DMSO	osi	EntrezID	Symbol	HumanGene	Control	Treatment	Diff
ACACB	-0.484528925619835	-0.311884487226953	32	ACACB	ACACB	-0.484528925619835	-0.311884487226953	0.172644438392882
ACADL	0.119790633608815	-0.0818798593113662	33	ACADL	ACADL	0.119790633608815	-0.0818798593113662	-0.201670492920182
ACADM	0.00625741046831956	-0.384653831914106	34	ACADM	ACADM	0.00625741046831956	-0.384653831914106	-0.390911242382425
ACADS	-0.131548209366391	-0.367660125879304	35	ACADS	ACADS	-0.131548209366391	-0.367660125879304	-0.236111916512913
ACADSB	0.319768595041322	0.283533876342095	36	ACADSB	ACADSB	0.319768595041322	0.283533876342095	-0.0362347186992268
ACADVL	-0.226424242424242	-0.00463383931877083	37	ACADVL	ACADVL	-0.226424242424242	-0.00463383931877083	0.221790403105472
ACAT1	-0.156022038567493	-0.145825620140689	38	ACAT1	ACAT1	-0.156022038567493	-0.145825620140689	0.0101964184268045
ACAT2	-0.283702479338843	-0.372713809700111	39	ACAT2	ACAT2	-0.283702479338843	-0.372713809700111	-0.089011330361268
ASIC2	0.0103322314049587	-0.326647537948908	40	ASIC2	ASIC2	0.0103322314049587	-0.326647537948908	-0.336979769353867
ASIC1	-0.399669421487603	-0.194631617919289	41	ASIC1	ASIC1	-0.399669421487603	-0.194631617919289	0.205037803568314
ACHE	-0.668143250688705	-0.345723805997779	43	ACHE	ACHE	-0.668143250688705	-0.345723805997779	0.322419444690927
ACLY	-0.598953168044077	-1.15059237319511	47	ACLY	ACLY	-0.598953168044077	-1.15059237319511	-0.551639205151036
ACO1	-0.308804407713499	-0.084003146982599	48	ACO1	ACO1	-0.308804407713499	-0.084003146982599	0.2248012607309
ACR	-0.0628694214876033	-0.2445575712699	49	ACR	ACR	-0.0628694214876033	-0.2445575712699	-0.181688149782297
ACO2	-0.0281542699724518	-0.0235616438356164	50	ACO2	ACO2	-0.0281542699724518	-0.0235616438356164	0.00459262613683535
ACOX1	-0.886842975206612	0.116854868567197	51	ACOX1	ACOX1	-0.886842975206612	0.116854868567197	1.00369784377381
ACP1	-0.218060606060606	0.247519437245465	52	ACP1	ACP1	-0.218060606060606	0.247519437245465	0.465580043306071
ACP2	-0.287900826446281	-0.706192151055165	53	ACP2	ACP2	-0.287900826446281	-0.706192151055165	-0.418291324608884
ACP5	-0.107894214876033	0.0472352832284339	54	ACP5	ACP5	-0.107894214876033	0.0472352832284339	0.155129498104467
ACPP	-0.318787878787879	-0.597723065531285	55	ACPP	ACPP	-0.318787878787879	-0.597723065531285	-0.278935186743406
ACRV1	-0.328628099173554	0.172223250647908	56	ACRV1	ACRV1	-0.328628099173554	0.172223250647908	0.500851349821462
ACTA1	-0.0678060606060606	-0.987319511292114	58	ACTA1	ACTA1	-0.0678060606060606	-0.987319511292114	-0.919513450686053
ACTA2	0.306402203856749	-0.104674194742688	59	ACTA2	ACTA2	0.306402203856749	-0.104674194742688	-0.411076398599437
ACTB	-0.778964187327824	-0.302961865975565	60	ACTB	ACTB	-0.778964187327824	-0.302961865975565	0.476002321352259
ACTC1	-0.12262258953168	-0.153711588300629	70	ACTC1	ACTC1	-0.12262258953168	-0.153711588300629	-0.0310889987689489
ACTG1	-0.281785123966942	-1.57006664198445	71	ACTG1	ACTG1	-0.281785123966942	-1.57006664198445	-1.28828151801751
ACTG2	-0.0943779614325069	0.44003146982599	72	ACTG2	ACTG2	-0.0943779614325069	0.44003146982599	0.534409431258497
ACTN4	-0.00048534435261708	0.961958533876342	81	ACTN4	ACTN4	-0.00048534435261708	0.961958533876342	0.962443878228959
ACTL6A	-0.711768595041322	-0.536616068122918	86	ACTL6A	ACTL6A	-0.711768595041322	-0.536616068122918	0.175152526918405
ACTN1	-0.169597796143251	-0.206654942613847	87	ACTN1	ACTN1	-0.169597796143251	-0.206654942613847	-0.037057146470596
ACTN2	-0.261410468319559	-0.797241762310255	88	ACTN2	ACTN2	-0.261410468319559	-0.797241762310255	-0.535831293990696
ACTN3	-0.43299173553719	-0.421880784894483	89	ACTN3	ACTN3	-0.43299173553719	-0.421880784894483	0.0111109506427066
ACVR1	-0.304473829201102	-0.53537578674565	90	ACVR1	ACVR1	-0.304473829201102	-0.53537578674565	-0.230901957544548
ACVR1B	0.316187327823691	-0.35707145501666	91	ACVR1B	ACVR1B	0.316187327823691	-0.35707145501666	-0.673258782840352
ACVR2A	-0.11500826446281	-0.436643835616438	92	ACVR2A	ACVR2A	-0.11500826446281	-0.436643835616438	-0.321635571153628
ACVR2B	-0.147151515151515	-0.0177591632728619	93	ACVR2B	ACVR2B	-0.147151515151515	-0.0177591632728619	0.129392351878653
ACVRL1	-0.276044077134986	-0.219511292114032	94	ACVRL1	ACVRL1	-0.276044077134986	-0.219511292114032	0.0565327850209544
ACY1	-0.224749311294766	-0.0012550907071455	95	ACY1	ACY1	-0.224749311294766	-0.0012550907071455	0.22349422058762
ACYP1	0.352925619834711	-0.25122176971492	97	ACYP1	ACYP1	0.352925619834711	-0.25122176971492	-0.604147389549631
ACYP2	0.042428650137741	-0.167567567567568	98	ACYP2	ACYP2	0.042428650137741	-0.167567567567568	-0.209996217705309
ADA	-0.0578347107438016	0.600249907441688	100	ADA	ADA	-0.0578347107438016	0.600249907441688	0.65808461818549
ADAM8	-0.182280991735537	-0.0538374676045909	101	ADAM8	ADAM8	-0.182280991735537	-0.0538374676045909	0.128443524130946
ADAM10	-0.125619834710744	0.545112921140318	102	ADAM10	ADAM10	-0.125619834710744	0.545112921140318	0.670732755851062
ADAR	0.106263360881543	-0.519668641243984	103	ADAR	ADAR	0.106263360881543	-0.519668641243984	-0.625932002125526
ADARB1	0.00452969696969697	-0.152693446871529	104	ADARB1	ADARB1	0.00452969696969697	-0.152693446871529	-0.157223143841226
ADARB2	-0.252198347107438	-0.0595538689374306	105	ADARB2	ADARB2	-0.252198347107438	-0.0595538689374306	0.192644478170007
ADCY1	0.0395261707988981	-0.382330618289522	107	ADCY1	ADCY1	0.0395261707988981	-0.382330618289522	-0.42185678908842
ADCY2	-0.208407713498623	-0.738541281007034	108	ADCY2	ADCY2	-0.208407713498623	-0.738541281007034	-0.530133567508412
ADCY3	-0.725906336088154	-0.320446131062569	109	ADCY3	ADCY3	-0.725906336088154	-0.320446131062569	0.405460205025585
ADCY5	-0.272099173553719	-0.22894298407997	111	ADCY5	ADCY5	-0.272099173553719	-0.22894298407997	0.0431561894737487
ADCY6	-0.255272727272727	-0.389948167345428	112	ADCY6	ADCY6	-0.255272727272727	-0.389948167345428	-0.1346754400727
ADCY7	-0.0843548209366391	-0.171131062569419	113	ADCY7	ADCY7	-0.0843548209366391	-0.171131062569419	-0.0867762416327796
ADCY8	0.0848606060606061	0.591956682710107	114	ADCY8	ADCY8	0.0848606060606061	0.591956682710107	0.507096076649501
ADCY9	-0.316484848484849	-0.0566854868567197	115	ADCY9	ADCY9	-0.316484848484849	-0.0566854868567197	0.259799361628129
ADCYAP1	-0.487316804407714	-0.209579785264717	116	ADCYAP1	ADCYAP1	-0.487316804407714	-0.209579785264717	0.277737019142997
ADCYAP1R1	-0.0559371900826446	-0.488078489448352	117	ADCYAP1R1	ADCYAP1R1	-0.0559371900826446	-0.488078489448352	-0.432141299365708
ADD1	-0.164661157024793	0.0385385042576823	118	ADD1	ADD1	-0.164661157024793	0.0385385042576823	0.203199661282476
ADD2	-0.273322314049587	-0.208783783783784	119	ADD2	ADD2	-0.273322314049587	-0.208783783783784	0.064538530265803
ADD3	0.285068870523416	0.607941503146983	120	ADD3	ADD3	0.285068870523416	0.607941503146983	0.322872632623567
PLIN2	-0.046134435261708	-0.815142539800074	123	PLIN2	PLIN2	-0.046134435261708	-0.815142539800074	-0.769008104538366
ADH1A	-0.436716253443526	-0.339577934098482	124	ADH1A	ADH1A	-0.436716253443526	-0.339577934098482	0.0971383193450442
ADH1B	0.227977961432507	0.603554239170678	125	ADH1B	ADH1B	0.227977961432507	0.603554239170678	0.375576277738171
ADH1C	-0.0978126721763085	0.157469455757127	126	ADH1C	ADH1C	-0.0978126721763085	0.157469455757127	0.255282127933436
ADH4	0.304484848484849	0.137476860422066	127	ADH4	ADH4	0.304484848484849	0.137476860422066	-0.167007988062783
ADH5	-0.193520661157025	0.298963346908552	128	ADH5	ADH5	-0.193520661157025	0.298963346908552	0.492484008065577
ADH6	0.0973994490358127	0.106673454276194	130	ADH6	ADH6	0.0973994490358127	0.106673454276194	0.00927400524038133
ADH7	-0.206853994490358	-0.383996667900778	131	ADH7	ADH7	-0.206853994490358	-0.383996667900778	-0.177142673410419
ADK	-0.094867217630854	0.107895223991114	132	ADK	ADK	-0.094867217630854	0.107895223991114	0.202762441621968
ADM	0.00593961432506887	0.143483894853758	133	ADM	ADM	0.00593961432506887	0.143483894853758	0.137544280528689
ADORA1	-0.466931129476584	-0.81663272861903	134	ADORA1	ADORA1	-0.466931129476584	-0.81663272861903	-0.349701599142446
ADORA2A	-0.596374655647383	-0.521029248426509	135	ADORA2A	ADORA2A	-0.596374655647383	-0.521029248426509	0.0753454072208742
ADORA2B	-0.122776859504132	-0.49615883006294	136	ADORA2B	ADORA2B	-0.122776859504132	-0.49615883006294	-0.373381970558807
ADORA3	-0.360815426997245	-0.559237319511292	140	ADORA3	ADORA3	-0.360815426997245	-0.559237319511292	-0.198421892514047
ADPRH	-0.117707988980716	-0.380775638652351	141	ADPRH	ADPRH	-0.117707988980716	-0.380775638652351	-0.263067649671635
PARP1	-0.424694214876033	-0.372426878933728	142	PARP1	PARP1	-0.424694214876033	-0.372426878933728	0.0522673359423048
PARP4	-0.157079889807163	-0.0365179563124769	143	PARP4	PARP4	-0.157079889807163	-0.0365179563124769	0.120561933494686
ADRA1D	-0.16329476584022	-0.126092188078489	146	ADRA1D	ADRA1D	-0.16329476584022	-0.126092188078489	0.0372025777617309
ADRA1B	-0.264198347107438	0.340142539800074	147	ADRA1B	ADRA1B	-0.264198347107438	0.340142539800074	0.604340886907512
ADRA1A	-0.336694214876033	-0.794511292114032	148	ADRA1A	ADRA1A	-0.336694214876033	-0.794511292114032	-0.457817077237999
ADRA2A	-0.0665619834710744	-0.0425027767493521	150	ADRA2A	ADRA2A	-0.0665619834710744	-0.0425027767493521	0.0240592067217223
ADRA2B	-0.347889807162534	-0.799241021843762	151	ADRA2B	ADRA2B	-0.347889807162534	-0.799241021843762	-0.451351214681227
ADRA2C	0.485774104683196	-0.154646427249167	152	ADRA2C	ADRA2C	0.485774104683196	-0.154646427249167	-0.640420531932363
ADRB1	-0.288044077134986	0.0155053683820807	153	ADRB1	ADRB1	-0.288044077134986	0.0155053683820807	0.303549445517067
ADRB2	0.140374655647383	0.271575342465753	154	ADRB2	ADRB2	0.140374655647383	0.271575342465753	0.13120068681837
ADRB3	0.106355922865014	-0.685116623472788	155	ADRB3	ADRB3	0.106355922865014	-0.685116623472788	-0.791472546337802
ADRBK1	-0.448088154269972	-0.53731025546094	156	ADRBK1	ADRBK1	-0.448088154269972	-0.53731025546094	-0.0892221011909679
ADRBK2	-0.238765840220386	-0.401305072195483	157	ADRBK2	ADRBK2	-0.238765840220386	-0.401305072195483	-0.162539231975097
ADSL	-1.32341597796143	-2.13485746019993	158	ADSL	ADSL	-1.32341597796143	-2.13485746019993	-0.811441482238493
ADSS	-0.347393939393939	-0.581479081821548	159	ADSS	ADSS	-0.347393939393939	-0.581479081821548	-0.234085142427608
AP2A1	-0.0212947658402204	-1.20733061828952	160	AP2A1	AP2A1	-0.0212947658402204	-1.20733061828952	-1.1860358524493
AP2A2	-0.278192837465565	-0.594918548685672	161	AP2A2	AP2A2	-0.278192837465565	-0.594918548685672	-0.316725711220107
AP1B1	-0.489928374655647	-0.196214365049981	162	AP1B1	AP1B1	-0.489928374655647	-0.196214365049981	0.293714009605666
AP2B1	0.244165289256198	-0.991206960385043	163	AP2B1	AP2B1	0.244165289256198	-0.991206960385043	-1.23537224964124
AP1G1	-0.464066115702479	-0.787069603850426	164	AP1G1	AP1G1	-0.464066115702479	-0.787069603850426	-0.323003488147946
AEBP1	-0.24537741046832	-0.432386153276564	165	AEBP1	AEBP1	-0.24537741046832	-0.432386153276564	-0.187008742808245
AES	-0.28163085399449	-0.321195853387634	166	AES	AES	-0.28163085399449	-0.321195853387634	-0.0395649993931438
CRISP1	0.0597972451790634	-0.202693446871529	167	CRISP1	CRISP1	0.0597972451790634	-0.202693446871529	-0.262490692050592
AFM	0.326820936639118	-0.407358385783043	173	AFM	AFM	0.326820936639118	-0.407358385783043	-0.734179322422162
AFP	0.18163085399449	-0.169427989633469	174	AFP	AFP	0.18163085399449	-0.169427989633469	-0.351058843627959
AGA	-0.0373796143250689	0.00501453165494261	175	AGA	AGA	-0.0373796143250689	0.00501453165494261	0.0423941459800115
ACAN	-0.00817840220385675	-0.576277304701962	176	ACAN	ACAN	-0.00817840220385675	-0.576277304701962	-0.568098902498105
AGER	-0.125807162534435	0.38115512773047	177	AGER	AGER	-0.125807162534435	0.38115512773047	0.506962290264905
AGL	-0.195702479338843	-0.357941503146983	178	AGL	AGL	-0.195702479338843	-0.357941503146983	-0.16223902380814
AGRP	-0.318820936639118	-0.196149574231766	181	AGRP	AGRP	-0.318820936639118	-0.196149574231766	0.122671362407352
JAG1	0.125035812672176	0.5695575712699	182	JAG1	JAG1	0.125035812672176	0.5695575712699	0.444521758597724
AGT	-0.17631955922865	0.0747778600518327	183	AGT	AGT	-0.17631955922865	0.0747778600518327	0.251097419280483
AGTR1	0.0886490358126722	-0.292586079229915	185	AGTR1	AGTR1	0.0886490358126722	-0.292586079229915	-0.381235115042587
AGTR2	-0.253465564738292	-0.104618659755646	186	AGTR2	AGTR2	-0.253465564738292	-0.104618659755646	0.148846904982646
APLNR	-0.849586776859504	-0.615077748981859	187	APLNR	APLNR	-0.849586776859504	-0.615077748981859	0.234509027877646
AGXT	-0.108093663911846	0.838846723435764	189	AGXT	AGXT	-0.108093663911846	0.838846723435764	0.94694038734761
NR0B1	0.103168044077135	0.198028507960015	190	NR0B1	NR0B1	0.103168044077135	0.198028507960015	0.0948604638828798
AHCY	-1.61741046831956	-1.39920399851907	191	AHCY	AHCY	-1.61741046831956	-1.39920399851907	0.218206469800492
AHR	0.0464407713498623	-0.611338393187708	196	AHR	AHR	0.0464407713498623	-0.611338393187708	-0.65777916453757
AHSG	-0.371173553719008	-0.728313587560163	197	AHSG	AHSG	-0.371173553719008	-0.728313587560163	-0.357140033841155
AIF1	-0.375526170798898	-0.164735283228434	199	AIF1	AIF1	-0.375526170798898	-0.164735283228434	0.210790887570464
AIM1	-0.100008815426997	0.281525360977416	202	AIM1	AIM1	-0.100008815426997	0.281525360977416	0.381534176404413
AK1	-0.228440771349862	-0.297038134024435	203	AK1	AK1	-0.228440771349862	-0.297038134024435	-0.0685973626745731
AK2	-0.0354754820936639	-0.059153091447612	204	AK2	AK2	-0.0354754820936639	-0.059153091447612	-0.0236776093539481
AK4	-0.388407713498623	-0.769067012217697	205	AK4	AK4	-0.388407713498623	-0.769067012217697	-0.380659298719075
AKT1	-0.520859504132231	-0.470825620140689	207	AKT1	AKT1	-0.520859504132231	-0.470825620140689	0.0500338839915427
AKT2	-0.166567493112948	-0.610662717512033	208	AKT2	AKT2	-0.166567493112948	-0.610662717512033	-0.444095224399085
ALAD	-1.01737741046832	-0.517400962606442	210	ALAD	ALAD	-1.01737741046832	-0.517400962606442	0.499976447861877
ALAS1	-1.03271625344353	-0.679572380599778	211	ALAS1	ALAS1	-1.03271625344353	-0.679572380599778	0.353143872843748
ALAS2	-0.0186115702479339	-0.063336727138097	212	ALAS2	ALAS2	-0.0186115702479339	-0.063336727138097	-0.0447251568901631
ALB	-0.358997245179063	-0.749000370233247	213	ALB	ALB	-0.358997245179063	-0.749000370233247	-0.390003125054184
ALCAM	-0.212374655647383	-0.354637171417993	214	ALCAM	ALCAM	-0.212374655647383	-0.354637171417993	-0.14226251577061
ABCD1	-0.65065564738292	0.0173648648648649	215	ABCD1	ABCD1	-0.65065564738292	0.0173648648648649	0.668020512247785
ALDH1A1	-0.223250688705234	-0.587902628656053	216	ALDH1A1	ALDH1A1	-0.223250688705234	-0.587902628656053	-0.364651939950819
ALDH2	-0.255933884297521	-0.600638652350981	217	ALDH2	ALDH2	-0.255933884297521	-0.600638652350981	-0.34470476805346
ALDH3A1	-0.516143250688705	-1.17715660866346	218	ALDH3A1	ALDH3A1	-0.516143250688705	-1.17715660866346	-0.661013357974753
ALDH1B1	-0.196793388429752	-0.519622362088116	219	ALDH1B1	ALDH1B1	-0.196793388429752	-0.519622362088116	-0.322828973658363
ALDH1A3	-0.233873278236915	0.0910153646797482	220	ALDH1A3	ALDH1A3	-0.233873278236915	0.0910153646797482	0.324888642916663
ALDH3B1	0.0254358126721763	-0.979544613106257	221	ALDH3B1	ALDH3B1	0.0254358126721763	-0.979544613106257	-1.00498042577843
ALDH3B2	-0.0107490909090909	-0.12622176971492	222	ALDH3B2	ALDH3B2	-0.0107490909090909	-0.12622176971492	-0.115472678805829
ALDH9A1	-0.157267217630854	-0.455183265457238	223	ALDH9A1	ALDH9A1	-0.157267217630854	-0.455183265457238	-0.297916047826384
ALDH3A2	-0.00155801652892562	-0.542160310995927	224	ALDH3A2	ALDH3A2	-0.00155801652892562	-0.542160310995927	-0.540602294467002
ABCD2	-0.324165289256198	-0.174342835986672	225	ABCD2	ABCD2	-0.324165289256198	-0.174342835986672	0.149822453269527
ALDOA	-1.17465564738292	-1.89291003332099	226	ALDOA	ALDOA	-1.17465564738292	-1.89291003332099	-0.718254385938072
ALDOB	-0.395735537190083	0.35091632728619	229	ALDOB	ALDOB	-0.395735537190083	0.35091632728619	0.746651864476273
ALDOC	-0.244848484848485	-0.920640503517216	230	ALDOC	ALDOC	-0.244848484848485	-0.920640503517216	-0.675792018668731
AKR1B1	-0.154203856749311	-0.639346538319141	231	AKR1B1	AKR1B1	-0.154203856749311	-0.639346538319141	-0.48514268156983
ALK	-0.256727272727273	-0.133654202147353	238	ALK	ALK	-0.256727272727273	-0.133654202147353	0.12307307057992
ALOX12	0.0245013774104683	0.0452952610144391	239	ALOX12	ALOX12	0.0245013774104683	0.0452952610144391	0.0207938836039708
ALOX5	-0.309223140495868	-0.0521834505738615	240	ALOX5	ALOX5	-0.309223140495868	-0.0521834505738615	0.257039689922006
ALOX5AP	-0.29033608815427	-0.229063309885228	241	ALOX5AP	ALOX5AP	-0.29033608815427	-0.229063309885228	0.0612727782690423
ALOX12B	-0.29033608815427	-0.261338393187708	242	ALOX12B	ALOX12B	-0.29033608815427	-0.261338393187708	0.0289976949665617
ALOX15	-0.695867768595041	-0.307182524990744	246	ALOX15	ALOX15	-0.695867768595041	-0.307182524990744	0.388685243604297
ALOX15B	-0.353212121212121	-0.38105331358756	247	ALOX15B	ALOX15B	-0.353212121212121	-0.38105331358756	-0.027841192375439
ALPI	-0.756418732782369	-0.728248796741947	248	ALPI	ALPI	-0.756418732782369	-0.728248796741947	0.0281699360404217
ALPL	-0.37798347107438	-0.447371343946686	249	ALPL	ALPL	-0.37798347107438	-0.447371343946686	-0.0693878728723062
ALPP	0.148275482093664	-0.0796399481673454	250	ALPP	ALPP	0.148275482093664	-0.0796399481673454	-0.227915430261009
ALPPL2	-0.0337774104683196	0.554017030729359	251	ALPPL2	ALPPL2	-0.0337774104683196	0.554017030729359	0.587794441197679
ALX3	-0.172143250688705	-0.344122547204739	257	ALX3	ALX3	-0.172143250688705	-0.344122547204739	-0.171979296516034
AMBN	-0.0666876033057851	-0.0550564605701592	258	AMBN	AMBN	-0.0666876033057851	-0.0550564605701592	0.0116311427356259
AMBP	-0.161190082644628	-0.40302665679378	259	AMBP	AMBP	-0.161190082644628	-0.40302665679378	-0.241836574149152
AMD1	-0.835559228650138	-0.027408367271381	262	AMD1	AMD1	-0.835559228650138	-0.027408367271381	0.808150861378757
AMELX	-0.0151636363636364	-0.091268974453906	265	AMELX	AMELX	-0.0151636363636364	-0.091268974453906	-0.0761053380902696
AMELY	0.314589531680441	0.216086634579785	266	AMELY	AMELY	0.314589531680441	0.216086634579785	-0.0985028971006555
AMFR	-0.372517906336088	0.590503517215846	267	AMFR	AMFR	-0.372517906336088	0.590503517215846	0.963021423551934
AMH	-0.0392011019283747	-0.228156238430211	268	AMH	AMH	-0.0392011019283747	-0.228156238430211	-0.188955136501836
AMHR2	-0.0023635261707989	-0.14323398741207	269	AMHR2	AMHR2	-0.0023635261707989	-0.14323398741207	-0.140870461241271
AMPD1	-0.109995592286501	-0.11169937060348	270	AMPD1	AMPD1	-0.109995592286501	-0.11169937060348	-0.00170377831697882
AMPD2	-0.404363636363636	-0.778304331728989	271	AMPD2	AMPD2	-0.404363636363636	-0.778304331728989	-0.373940695365353
AMPD3	-0.182578512396694	-0.740577563865235	272	AMPD3	AMPD3	-0.182578512396694	-0.740577563865235	-0.557999051468541
AMPH	0.12502479338843	-0.116549426138467	273	AMPH	AMPH	0.12502479338843	-0.116549426138467	-0.241574219526897
BIN1	-0.0753134986225895	-0.0389179933358016	274	BIN1	BIN1	-0.0753134986225895	-0.0389179933358016	0.036395505286788
AMT	-0.214457300275482	-0.023326545723806	275	AMT	AMT	-0.214457300275482	-0.023326545723806	0.191130754551676
AMY1A	-0.168539944903581	-0.666105146242132	276	AMY1A	AMY1A	-0.168539944903581	-0.666105146242132	-0.497565201338551
AMY1B	-0.447702479338843	-0.385847834135505	277	AMY1B	AMY1B	-0.447702479338843	-0.385847834135505	0.0618546452033376
AMY1C	-0.785068870523416	-0.318807848944835	278	AMY1C	AMY1C	-0.785068870523416	-0.318807848944835	0.466261021578581
AMY2A	0.165730027548209	-0.231293965198075	279	AMY2A	AMY2A	0.165730027548209	-0.231293965198075	-0.397023992746284
AMY2B	-0.294600550964187	-0.985560903369122	280	AMY2B	AMY2B	-0.294600550964187	-0.985560903369122	-0.690960352404935
ANG	-0.40467217630854	-0.0105479452054795	283	ANG	ANG	-0.40467217630854	-0.0105479452054795	0.39412423110306
ANGPT1	-0.368969696969697	-0.383283968900407	284	ANGPT1	ANGPT1	-0.368969696969697	-0.383283968900407	-0.0143142719307103
ANGPT2	0.165939393939394	0.206469825990374	285	ANGPT2	ANGPT2	0.165939393939394	0.206469825990374	0.04053043205098
ANK1	-0.0310292011019284	-0.102952610144391	286	ANK1	ANK1	-0.0310292011019284	-0.102952610144391	-0.0719234090424626
ANK2	-0.0545939393939394	0.198954091077379	287	ANK2	ANK2	-0.0545939393939394	0.198954091077379	0.253548030471318
ANK3	-0.670005509641873	-0.420177711958534	288	ANK3	ANK3	-0.670005509641873	-0.420177711958534	0.249827797683339
ANPEP	-0.38771349862259	-0.423824509440948	290	ANPEP	ANPEP	-0.38771349862259	-0.423824509440948	-0.0361110108183582
SLC25A4	-0.185289256198347	0.388171047760089	291	SLC25A4	SLC25A4	-0.185289256198347	0.388171047760089	0.573460303958436
SLC25A5	-0.037571349862259	0.413855979266938	292	SLC25A5	SLC25A5	-0.037571349862259	0.413855979266938	0.451427329129197
SLC25A6	0.0946556473829201	-0.180710847834135	293	SLC25A6	SLC25A6	0.0946556473829201	-0.180710847834135	-0.275366495217056
ANXA1	0.00159845730027548	0.203674564975935	301	ANXA1	ANXA1	0.00159845730027548	0.203674564975935	0.202076107675659
ANXA2	-0.434699724517906	-0.374527952610144	302	ANXA2	ANXA2	-0.434699724517906	-0.374527952610144	0.060171771907762
ANXA3	-0.0163889807162534	0.553970751573491	306	ANXA3	ANXA3	-0.0163889807162534	0.553970751573491	0.570359732289745
ANXA4	-0.0497994490358127	-0.36823398741207	307	ANXA4	ANXA4	-0.0497994490358127	-0.36823398741207	-0.318434538376257
ANXA5	0.0121906336088154	0.00459857460199926	308	ANXA5	ANXA5	0.0121906336088154	0.00459857460199926	-0.00759205900681617
ANXA6	-0.0619107438016529	-0.32115883006294	309	ANXA6	ANXA6	-0.0619107438016529	-0.32115883006294	-0.259248086261287
ANXA7	-0.0721619834710744	-0.645261014439097	310	ANXA7	ANXA7	-0.0721619834710744	-0.645261014439097	-0.573099030968022
ANXA11	-0.39766391184573	-0.336551277304702	311	ANXA11	ANXA11	-0.39766391184573	-0.336551277304702	0.0611126345410281
ANXA13	-0.107282644628099	0.00871047760088856	312	ANXA13	ANXA13	-0.107282644628099	0.00871047760088856	0.115993122228988
AOAH	-0.211305785123967	-0.647565716401333	313	AOAH	AOAH	-0.211305785123967	-0.647565716401333	-0.436259931277366
AOC2	-0.381101928374656	-0.683987412069604	314	AOC2	AOC2	-0.381101928374656	-0.683987412069604	-0.302885483694948
AOX1	-0.168011019283747	-0.588846723435764	316	AOX1	AOX1	-0.168011019283747	-0.588846723435764	-0.420835704152018
APAF1	-0.0565950413223141	0.223343206219919	317	APAF1	APAF1	-0.0565950413223141	0.223343206219919	0.279938247542233
