id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MAPKAPK2	4	0.0016825	0.0060746	0.800128	143	1	0.014936	0.67036	0.7683	0.999997	14291	1	0.014936
DHRS3	4	0.0016929	0.0061083	0.800128	144	4	-2.0014	0.99831	0.99832	0.999997	19061	0	-2.0014
INPP5A	4	0.0016934	0.0061093	0.800128	145	4	-3.1576	0.99831	0.99832	0.999997	19060	0	-3.1576
ZFP91	4	0.0017012	0.0061388	0.800128	146	4	-1.4936	0.9983	0.99831	0.999997	19059	0	-1.4936
HEXIM2	4	0.0017064	0.0061539	0.800128	147	4	-1.2107	0.99829	0.99831	0.999997	19058	0	-1.2107
CTNS	4	0.0017227	0.0062217	0.800561	148	2	-1.3312	0.94421	0.94411	0.999997	17794	0	-1.3312
YBX1	4	0.0017343	0.0062642	0.800561	149	4	-2.9333	0.98822	0.98826	0.999997	18804	0	-2.9333
GXYLT2	4	0.0017401	0.0062829	0.800561	150	4	-0.85184	0.99826	0.99828	0.999997	19057	0	-0.85184
FBXO47	4	0.0017748	0.0064077	0.811062	151	4	-2.739	0.99823	0.99824	0.999997	19056	0	-2.739
WASL	4	0.001786	0.0064585	0.811914	152	2	-0.49705	0.77246	0.81365	0.999997	15152	1	-0.49705
ZNF669	4	0.0018005	0.0064994	0.811914	153	4	-1.0599	0.9982	0.99822	0.999997	19055	0	-1.0599
GLDN	4	0.0018434	0.0066522	0.816395	154	4	-1.8153	0.99816	0.99818	0.999997	19054	0	-1.8153
PARP16	4	0.0018895	0.0068097	0.816395	155	2	-0.40219	0.94547	0.94536	0.999997	17823	0	-0.40219
CDC14A	4	0.0019426	0.0069977	0.816395	156	4	-1.4282	0.99806	0.99807	0.999997	19053	0	-1.4282
PDPR	4	0.0019885	0.007163	0.816395	157	4	-1.9245	0.99801	0.99802	0.999997	19052	0	-1.9245
TMEM55A	4	0.001995	0.0071858	0.816395	158	2	-0.9782	0.53605	0.68435	0.999997	12693	1	-0.9782
COL4A6	4	0.0020127	0.0072573	0.816395	159	3	-1.6225	0.37908	0.55207	0.999997	10282	1	-1.6225
DBF4	4	0.0020209	0.0072868	0.816395	160	4	-2.7214	0.99798	0.998	0.999997	19051	0	-2.7214
PGBD1	4	0.0020227	0.0072909	0.816395	161	2	-0.50057	0.35445	0.53144	0.999997	9897	2	-0.50057
DBT	4	0.0020447	0.0073567	0.816395	162	2	-0.65247	0.84668	0.85708	0.999997	16019	1	-0.65247
LIN37	4	0.0020534	0.0073826	0.816395	163	4	-0.98594	0.98801	0.98803	0.999997	18800	0	-0.98594
RNASE7	4	0.0020649	0.0074287	0.816395	164	3	-1.4296	0.86341	0.86919	0.999997	16265	1	-1.4296
RGS11	4	0.0020964	0.0075515	0.816395	165	1	0.75419	0.11517	0.24915	0.996875	4761	3	0.75419
AMER2	4	0.0021132	0.0076105	0.816395	166	3	-1.6572	0.31132	0.49562	0.999997	9224	1	-1.6572
TBR1	4	0.0021241	0.0076468	0.816395	167	3	-1.6583	0.96211	0.96202	0.999997	18189	0	-1.6583
RAB44	4	0.0021271	0.0076567	0.816395	168	4	-0.90046	0.99787	0.99789	0.999997	19050	0	-0.90046
TMPRSS11B	4	0.0021481	0.0077359	0.816395	169	1	0.13971	0.055505	0.1472	0.971263	2895	2	0.13971
TMEM160	4	0.0021664	0.0078022	0.816395	170	4	-1.5328	0.99783	0.99785	0.999997	19049	0	-1.5328
POTEJ	4	0.0021737	0.0078214	0.816395	171	4	-1.3218	0.99783	0.99784	0.999997	19048	0	-1.3218
MPHOSPH8	4	0.0021763	0.0078292	0.816395	172	4	-1.0618	0.99782	0.99784	0.999997	19047	0	-1.0618
OR4D9	4	0.002177	0.0078323	0.816395	173	4	-2.0386	0.98312	0.98315	0.999997	18660	0	-2.0386
SPATA18	4	0.0021872	0.0078623	0.816395	174	2	-1.6111	0.60248	0.74192	0.999997	13816	2	-1.6111
NUP85	4	0.0021909	0.0078742	0.816395	175	4	-2.9061	0.99781	0.99782	0.999997	19046	0	-2.9061
TMEM9	4	0.0021998	0.0079089	0.816395	176	1	0.34088	0.13412	0.27976	0.999997	5307	2	0.34088
NTF4	4	0.0022454	0.008068	0.816395	177	2	-0.87526	0.56807	0.71203	0.999997	13242	2	-0.87526
ZNF710	4	0.0022491	0.0080814	0.816395	178	4	-1.1133	0.99342	0.99346	0.999997	18934	0	-1.1133
KCNJ15	4	0.0022515	0.0080939	0.816395	179	3	-2.6056	0.58382	0.72563	0.999997	13511	1	-2.6056
ELOVL2	4	0.0022542	0.0081001	0.816395	180	4	-2.4331	0.98375	0.98375	0.999997	18677	0	-2.4331
SCYL1	4	0.0022674	0.008142	0.816395	181	3	-1.7727	0.79681	0.82658	0.999997	15426	1	-1.7727
CAB39L	4	0.002296	0.0082374	0.816395	182	3	-1.4569	0.18557	0.35882	0.999997	6738	1	-1.4569
NFATC4	4	0.0023114	0.0083011	0.816395	183	4	-1.075	0.99769	0.99769	0.999997	19045	0	-1.075
HOXA5	4	0.0023519	0.0084466	0.816395	184	3	-2.1727	0.96353	0.96347	0.999997	18224	0	-2.1727
CABS1	4	0.0023791	0.0085461	0.816395	185	2	-0.6459	0.22947	0.42277	0.999997	7897	2	-0.6459
CNPY3	4	0.0023922	0.0085979	0.816395	186	4	-1.3617	0.99761	0.9976	0.999997	19044	0	-1.3617
SP1	4	0.002397	0.0086088	0.816395	187	3	-2.4021	0.9532	0.95309	0.999997	17996	0	-2.4021
ZBTB25	4	0.0024067	0.0086399	0.816395	188	3	-1.1747	0.65723	0.76333	0.999997	14192	1	-1.1747
COPZ1	4	0.0024181	0.008687	0.816395	189	3	-3.8619	0.75787	0.80633	0.999997	15016	1	-3.8619
UBL5	4	0.0024458	0.0087751	0.816395	190	4	-3.4842	0.99715	0.99715	0.999997	19031	0	-3.4842
TBC1D22B	4	0.0024767	0.0088776	0.816395	191	4	-1.0709	0.99752	0.99753	0.999997	19043	0	-1.0709
DNAJB9	4	0.0024779	0.0088792	0.816395	192	4	-1.7955	0.99752	0.99753	0.999997	19042	0	-1.7955
PLEKHA7	4	0.0024888	0.0089134	0.816395	193	4	-1.5451	0.99751	0.99752	0.999997	19041	0	-1.5451
CLTC	4	0.0024917	0.0089248	0.816395	194	4	-2.6136	0.99751	0.99752	0.999997	19040	0	-2.6136
AHR	4	0.0025101	0.0089807	0.816395	195	3	-0.64345	0.93508	0.93496	0.999997	17596	0	-0.64345
LRP10	4	0.0025319	0.0090496	0.816395	196	2	-0.88514	0.90439	0.90409	0.999997	16986	1	-0.88514
AMN	4	0.0025346	0.0090605	0.816395	197	3	-1.0814	0.86987	0.87414	0.999997	16374	1	-1.0814
NEURL4	4	0.0025389	0.0090781	0.816395	198	4	-1.3358	0.99746	0.99747	0.999997	19039	0	-1.3358
TBC1D17	4	0.0025488	0.0091071	0.816395	199	4	-1.0444	0.98933	0.98937	0.999997	18829	0	-1.0444
HIST1H1B	4	0.0025488	0.0091071	0.816395	200	4	-1.6821	0.99745	0.99746	0.999997	19038	0	-1.6821
TRIM45	4	0.0025618	0.009146	0.816395	201	1	0.2536	0.20495	0.38741	0.999997	7269	3	0.2536
TRIL	4	0.0025708	0.0091776	0.816395	202	3	-0.74729	0.52473	0.67467	0.999997	12505	1	-0.74729
XYLT2	4	0.0026086	0.0092983	0.816395	203	3	-1.5604	0.97183	0.9718	0.999997	18411	0	-1.5604
LRRC66	4	0.0026135	0.009318	0.816395	204	3	-0.5769	0.44091	0.60399	0.999997	11206	1	-0.5769
P2RX1	4	0.0026297	0.0093723	0.816395	205	4	-1.8767	0.99737	0.99737	0.999997	19037	0	-1.8767
ATF7IP	4	0.0026322	0.0093812	0.816395	206	3	-0.94851	0.86594	0.87112	0.999997	16312	1	-0.94851
5-Mar	4	0.0026339	0.0093874	0.816395	207	4	-1.7081	0.99737	0.99737	0.999997	19036	0	-1.7081
CEP170	4	0.0026343	0.0093879	0.816395	208	3	-2.0624	0.96349	0.96342	0.999997	18222	0	-2.0624
LOC283710	4	0.0026478	0.009435	0.816395	209	4	-0.73632	0.98352	0.98353	0.999997	18668	0	-0.73632
ZNF534	4	0.0026481	0.0094361	0.816395	210	3	-1.4607	0.045389	0.12887	0.95712	2566	1	-1.4607
NFKB2	4	0.0026576	0.0094583	0.816395	211	2	-0.72025	0.49435	0.64893	0.999997	12042	2	-0.72025
KLF4	4	0.0026652	0.0094868	0.816395	212	4	-2.7471	0.99294	0.993	0.999997	18922	0	-2.7471
NPIPA1	4	0.0027136	0.0096604	0.816395	213	3	-4.633	0.80583	0.8317	0.999997	15540	1	-4.633
TRIM47	4	0.0027169	0.0096718	0.816395	214	3	-1.199	0.95309	0.95297	0.999997	17992	0	-1.199
ZNF524	4	0.0027171	0.0096723	0.816395	215	4	-1.1638	0.98938	0.98942	0.999997	18832	0	-1.1638
PPP4R4	4	0.0027228	0.009694	0.816395	216	3	-1.4325	0.77475	0.81478	0.999997	15180	1	-1.4325
WDR26	4	0.0027459	0.0097728	0.816395	217	4	-1.9304	0.99725	0.99726	0.999997	19035	0	-1.9304
ERP27	4	0.0027527	0.0097971	0.816395	218	3	-1.8451	0.69095	0.77653	0.999997	14463	1	-1.8451
GPR152	4	0.0027686	0.0098562	0.816395	219	2	-0.087093	0.57271	0.71603	0.999997	13319	2	-0.087093
FANCF	4	0.0027712	0.0098686	0.816395	220	3	-2.2937	0.81744	0.83846	0.999997	15664	1	-2.2937
TRIM3	4	0.0027797	0.0098987	0.816395	221	3	-1.3845	0.67554	0.77032	0.999997	14333	1	-1.3845
TSPAN18	4	0.0027894	0.0099287	0.816395	222	2	-1.0945	0.50248	0.65573	0.999997	12177	2	-1.0945
SMS	4	0.0027915	0.0099334	0.816395	223	4	-1.1221	0.99721	0.99721	0.999997	19033	0	-1.1221
RHBG	4	0.0027933	0.0099422	0.816395	224	3	-2.989	0.73007	0.79316	0.999997	14754	1	-2.989
ARAP1	4	0.0028057	0.0099914	0.816395	225	2	-0.6586	0.29461	0.48172	0.999997	8967	2	-0.6586
ZC3HC1	4	0.0028132	0.010023	0.816395	226	4	-1.3919	0.99678	0.99678	0.999997	19019	0	-1.3919
PLA2G16	4	0.0028203	0.010049	0.816395	227	3	-1.2139	0.91244	0.91225	0.999997	17127	0	-1.2139
