Gene	sgRNA	DMSO|beta	DMSO|z	DMSO|p-value	DMSO|fdr	DMSO|wald-p-value	DMSO|wald-fdr	osi|beta	osi|z	osi|p-value	osi|fdr	osi|wald-p-value	osi|wald-fdr
ABL1	4	-0.13623	-0.82756	0.19259	0.31016	0.40792	0.99926	0.0096004	0.058326	0.94977	0.96904	0.95349	0.97784
AOC1	4	-0.26873	-0.77577	0.02616	0.072883	0.43789	0.99926	-1.1353	-3.249	0	0	0.001158	0.023042
ABL2	4	0.022364	0.052558	0.95851	0.97317	0.95808	0.99926	-0.27155	-0.63735	0.19924	0.33409	0.5239	0.72162
ABO	4	0.11208	0.36975	0.3958	0.52777	0.71157	0.99926	-0.4828	-1.5906	0.032857	0.088625	0.11169	0.30615
ABR	4	-0.45899	-1.1956	0.0015173	0.0093368	0.23184	0.98834	0.38768	1.012	0.11197	0.21978	0.31153	0.54071
ACAA1	4	-0.15881	-0.55911	0.13734	0.24162	0.57609	0.99926	-0.2196	-0.77349	0.28912	0.43824	0.43923	0.65504
ACACA	4	-0.28757	-0.79717	0.019672	0.059082	0.42535	0.99926	-1.8282	-5.0605	0	0	4.1807e-07	0.00023391
ACACB	4	-0.43971	-1.1774	0.0021451	0.012338	0.23903	0.99128	-0.33696	-0.90334	0.12274	0.23469	0.36634	0.59191
ACADL	4	0.10871	0.4772	0.41181	0.54268	0.63322	0.99926	-0.088463	-0.38824	0.62078	0.73971	0.69784	0.83802
ACADM	4	0.0056786	0.025451	0.9233	0.94917	0.97969	0.99926	-0.41558	-1.8617	0.062732	0.14368	0.062641	0.21502
ACADS	4	-0.11938	-0.47413	0.24308	0.37005	0.63541	0.99926	-0.39722	-1.5773	0.074609	0.16395	0.11473	0.31125
ACADSB	4	0.29019	0.70275	0.020562	0.061091	0.48221	0.99926	0.30633	0.74193	0.21514	0.35302	0.45813	0.66985
ACADVL	4	-0.20548	-0.76415	0.06765	0.14239	0.44478	0.99926	-0.0050064	-0.018645	0.89646	0.93465	0.98512	0.99302
ACAT1	4	-0.14159	-0.24753	0.17888	0.29411	0.8045	0.99926	-0.15755	-0.27688	0.42505	0.57239	0.78187	0.89111
ACAT2	4	-0.25746	-0.90999	0.031235	0.082504	0.36283	0.99926	-0.40268	-1.4233	0.070737	0.15732	0.15464	0.36811
ASIC2	4	0.0093765	0.037575	0.9481	0.9662	0.97003	0.99926	-0.35291	-1.4134	0.1082	0.21461	0.15754	0.37156
ASIC1	4	-0.3627	-0.96843	0.0060692	0.025152	0.33283	0.99926	-0.21028	-0.56205	0.30728	0.45644	0.57408	0.75677
ACHE	4	-0.60634	-2.0693	0.00010464	0.0011105	0.038519	0.75293	-0.37352	-1.2783	0.092189	0.19113	0.20116	0.42554
ACLY	4	-0.54355	-1.092	0.0002616	0.0022371	0.27483	0.99926	-1.2431	-2.4507	0	0	0.014258	0.090987
ACO1	4	-0.28024	-0.72443	0.021818	0.063528	0.4688	0.99926	-0.090757	-0.23521	0.61408	0.73425	0.81405	0.90775
ACR	4	-0.057054	-0.12628	0.52211	0.64306	0.89951	0.99926	-0.26422	-0.58444	0.21064	0.34734	0.55892	0.74553
ACO2	4	-0.02555	-0.10272	0.71297	0.79985	0.91819	0.99926	-0.025456	-0.10237	0.82551	0.8878	0.91846	0.95874
ACOX1	4	-0.80481	-2.1484	0	0	0.031685	0.72354	0.12625	0.34291	0.65657	0.76875	0.73167	0.8601
ACP1	4	-0.19789	-0.64715	0.076022	0.15527	0.51754	0.99926	0.26742	0.87628	0.284	0.43251	0.38088	0.60539
ACP2	4	-0.26127	-0.7957	0.02998	0.080613	0.42621	0.99926	-0.76297	-2.3224	0.0016219	0.008847	0.02021	0.11068
ACP5	4	-0.097914	-0.53095	0.32344	0.45496	0.59546	0.99926	0.051033	0.27674	0.90446	0.94048	0.78198	0.89113
ACPP	4	-0.2893	-1.2319	0.019306	0.05835	0.21799	0.98571	-0.64578	-2.7494	0.0062261	0.025335	0.0059704	0.055153
ACRV1	4	-0.29823	-0.70186	0.016586	0.051959	0.48277	0.99926	0.18607	0.43894	0.47695	0.61749	0.66071	0.8133
ACTA1	4	-0.061534	-0.16693	0.49788	0.62212	0.86742	0.99926	-1.0667	-2.8783	0	0	0.0039981	0.044636
ACTA2	4	0.27806	0.8221	0.026579	0.073485	0.41102	0.99926	-0.11309	-0.33416	0.5467	0.67917	0.73826	0.86328
ACTB	4	-0.70691	-1.3025	5.232e-05	0.00061387	0.19276	0.97671	-0.32732	-0.6034	0.13206	0.24721	0.54624	0.73695
ACTC1	4	-0.11128	-0.42638	0.27248	0.40297	0.66983	0.99926	-0.16607	-0.63635	0.40344	0.55209	0.52455	0.72226
ACTG1	4	-0.25572	-0.47608	0.032177	0.084224	0.63402	0.99926	-1.6963	-3.0916	0	0	0.0019911	0.03066
ACTG2	4	-0.085648	-0.37991	0.37754	0.50953	0.70401	0.99926	0.47541	2.1088	0.047559	0.11697	0.034959	0.15224
ACTN4	4	-0.00044045	-0.00052924	0.88087	0.92065	0.99958	0.99999	1.0393	1.249	0.00010464	0.00086393	0.21167	0.43686
ACTL6A	4	-0.64593	-2.2737	5.232e-05	0.00061387	0.022985	0.65277	-0.57976	-2.0425	0.012295	0.042233	0.041098	0.16749
ACTN1	4	-0.15391	-0.44393	0.14843	0.25646	0.65709	0.99926	-0.22327	-0.64448	0.28164	0.4301	0.51926	0.71847
ACTN2	4	-0.23723	-0.75061	0.042484	0.10232	0.45289	0.99926	-0.86134	-2.7141	0.00036624	0.0026616	0.0066457	0.058052
ACTN3	4	-0.39294	-1.1034	0.0036624	0.017335	0.26985	0.99926	-0.4558	-1.2802	0.042589	0.10753	0.20048	0.4249
ACVR1	4	-0.27631	-0.61956	0.023126	0.066297	0.53555	0.99926	-0.57842	-1.2969	0.012348	0.042233	0.19467	0.41768
ACVR1B	4	0.28694	0.62088	0.022393	0.064848	0.53468	0.99926	-0.38578	-0.83256	0.082876	0.17719	0.40509	0.62578
ACVR2A	4	-0.10437	-0.39885	0.29823	0.42957	0.69001	0.99926	-0.47175	-1.7987	0.036415	0.095802	0.072067	0.23481
ACVR2B	4	-0.13354	-0.3818	0.20007	0.31936	0.70261	0.99926	-0.019187	-0.054902	0.84722	0.90227	0.95622	0.97921
ACVRL1	4	-0.25051	-0.76583	0.034845	0.089145	0.44378	0.99926	-0.23716	-0.72633	0.25663	0.40169	0.46764	0.67814
ACY1	4	-0.20396	-1.0516	0.069011	0.14425	0.293	0.99926	-0.001356	-0.0069961	0.90933	0.94405	0.99442	0.99734
ACYP1	4	0.32028	1.2386	0.010726	0.037956	0.21549	0.98571	-0.27142	-1.0491	0.19955	0.33453	0.29411	0.52345
ACYP2	4	0.038504	0.12594	0.84597	0.89753	0.89978	0.99926	-0.18104	-0.59217	0.36933	0.5192	0.55374	0.74255
ADA	4	-0.052485	-0.10522	0.54664	0.66315	0.9162	0.99926	0.64851	1.3016	0.0072725	0.028773	0.19307	0.41572
ADAM8	4	-0.16542	-0.5033	0.12437	0.22458	0.61475	0.99926	-0.058166	-0.17742	0.71674	0.81469	0.85918	0.93129
ADAM10	4	-0.114	-0.25344	0.26244	0.39175	0.79993	0.99926	0.58894	1.3137	0.014231	0.0468	0.18895	0.41094
ADAR	4	0.096434	0.32057	0.47899	0.60505	0.74854	0.99926	-0.56145	-1.8626	0.014336	0.046982	0.062523	0.21483
ADARB1	4	0.0041107	0.021187	0.91221	0.94233	0.9831	0.99926	-0.16497	-0.85026	0.40559	0.55403	0.39518	0.61759
ADARB2	4	-0.22887	-1.3087	0.047769	0.11095	0.19063	0.97564	-0.064342	-0.36811	0.69722	0.8007	0.71279	0.84766
ADCY1	4	0.03587	0.10465	0.86496	0.9098	0.91666	0.99926	-0.41307	-1.2051	0.064406	0.1465	0.22818	0.45531
ADCY2	4	-0.18913	-0.68074	0.087061	0.17195	0.49604	0.99926	-0.79792	-2.8712	0.0010987	0.0065359	0.0040897	0.044949
ADCY3	4	-0.65876	-2.1756	5.232e-05	0.00061387	0.029588	0.7027	-0.34621	-1.1443	0.11479	0.22424	0.25251	0.48161
ADCY5	4	-0.24693	-0.93687	0.036624	0.092142	0.34883	0.99926	-0.24735	-0.93872	0.239	0.38041	0.34788	0.57597
ADCY6	4	-0.23166	-1.0116	0.045571	0.10716	0.31174	0.99926	-0.4213	-1.8397	0.059855	0.13939	0.065816	0.22166
ADCY7	4	-0.076552	-0.24363	0.41877	0.54923	0.80752	0.99926	-0.18489	-0.58846	0.36148	0.51178	0.55623	0.74418
ADCY8	4	0.077011	0.19301	0.59415	0.70416	0.84695	0.99926	0.63955	1.6041	0.0082143	0.031169	0.10868	0.30132
ADCY9	4	-0.28721	-1.5072	0.019777	0.059183	0.13176	0.93195	-0.061243	-0.3214	0.70664	0.80724	0.7479	0.8696
ADCYAP1	4	-0.44224	-1.1742	0.0019359	0.011239	0.24031	0.99128	-0.22643	-0.60239	0.27557	0.42314	0.54691	0.7372
ADCYAP1R1	4	-0.050763	-0.20233	0.55664	0.67199	0.83966	0.99926	-0.52732	-2.1006	0.02051	0.061538	0.03568	0.15378
ADD1	4	-0.14943	-0.79636	0.15884	0.26934	0.42582	0.99926	0.041637	0.22192	0.93737	0.9614	0.82438	0.91229
ADD2	4	-0.24804	-0.90485	0.035996	0.09115	0.36555	0.99926	-0.22557	-0.82293	0.27761	0.42536	0.41055	0.63098
ADD3	4	0.2587	0.71954	0.037775	0.094194	0.47181	0.99926	0.65682	1.8272	0.0065401	0.026449	0.067664	0.2259
PLIN2	4	-0.041867	-0.19143	0.61037	0.71791	0.84819	0.99926	-0.88068	-4.0241	0.00020928	0.0015842	5.7201e-05	0.0042568
ADH1A	4	-0.39632	-1.8016	0.0035055	0.016758	0.071608	0.83844	-0.36688	-1.6716	0.097002	0.19831	0.094603	0.27771
ADH1B	4	0.20689	0.30449	0.093601	0.18196	0.76076	0.99926	0.65208	0.96042	0.0069586	0.02783	0.33684	0.56544
ADH1C	4	-0.088765	-0.30041	0.36274	0.49426	0.76386	0.99926	0.17013	0.57677	0.52169	0.65642	0.56409	0.74939
ADH4	4	0.27632	0.63643	0.027782	0.075846	0.5245	0.99926	0.14853	0.34216	0.58918	0.71376	0.73223	0.86043
ADH5	4	-0.17562	-0.65231	0.10726	0.20155	0.5142	0.99926	0.323	1.2008	0.18998	0.32327	0.22983	0.457
ADH6	4	0.08839	0.33813	0.52755	0.64757	0.73526	0.99926	0.11525	0.44094	0.69241	0.79704	0.65926	0.81239
ADH7	4	-0.18772	-0.45857	0.088578	0.17394	0.64654	0.99926	-0.41487	-1.011	0.063151	0.14433	0.31202	0.54117
ADK	4	-0.086092	-0.32586	0.37467	0.50661	0.74453	0.99926	0.11657	0.44132	0.68833	0.79377	0.65898	0.8122
ADM	4	0.0053902	0.014967	0.92063	0.9472	0.98806	0.99926	0.15502	0.43067	0.56951	0.69843	0.66671	0.81746
ADORA1	4	-0.42374	-1.6969	0.0024067	0.012912	0.08972	0.87917	-0.88229	-3.5301	0.00020928	0.0015842	0.00041534	0.012538
ADORA2A	4	-0.54121	-1.9439	0.0002616	0.0022371	0.051913	0.80027	-0.56292	-2.0227	0.014074	0.046355	0.043106	0.17248
ADORA2B	4	-0.11142	-0.28377	0.27207	0.40254	0.77658	0.99926	-0.53605	-1.3597	0.018469	0.056798	0.17394	0.39291
ADORA3	4	-0.32744	-1.3695	0.010464	0.037411	0.17085	0.95718	-0.6042	-2.5243	0.00947	0.034834	0.011592	0.080607
ADPRH	4	-0.10682	-0.35163	0.28912	0.42052	0.72511	0.99926	-0.41139	-1.353	0.065401	0.14803	0.17604	0.39511
PARP1	4	-0.38541	-1.5686	0.0041333	0.018836	0.11674	0.91975	-0.40237	-1.6401	0.070946	0.15769	0.10098	0.28803
PARP4	4	-0.14255	-0.38352	0.17637	0.29131	0.70133	0.99926	-0.039454	-0.10665	0.77623	0.8552	0.91506	0.95713
ADRA1D	4	-0.14819	-0.43798	0.16214	0.27359	0.6614	0.99926	-0.13623	-0.40274	0.48014	0.62019	0.68714	0.83217
ADRA1B	4	-0.23976	-0.62267	0.041333	0.10068	0.5335	0.99926	0.36749	0.95467	0.132	0.24713	0.33974	0.56795
ADRA1A	4	-0.30555	-1.0089	0.014859	0.048005	0.31305	0.99926	-0.85839	-2.8289	0.00041856	0.0029575	0.0046706	0.048251
ADRA2A	4	-0.060405	-0.39467	0.50369	0.62713	0.69309	0.99926	-0.04592	-0.30013	0.75409	0.84011	0.76408	0.87948
ADRA2B	4	-0.31571	-1.1621	0.012609	0.042632	0.24518	0.99155	-0.8635	-3.178	0.00036624	0.0026616	0.001483	0.026213
ADRA2C	4	0.44084	1.075	0.00099409	0.0068915	0.28238	0.99926	-0.16708	-0.40466	0.40062	0.54968	0.68572	0.83122
ADRB1	4	-0.2614	-0.72477	0.029927	0.080518	0.46859	0.99926	0.016752	0.046537	0.97541	0.98499	0.96288	0.98267
ADRB2	4	0.12739	0.39297	0.32177	0.45351	0.69434	0.99926	0.29341	0.90603	0.23628	0.37728	0.36492	0.59096
ADRB3	4	0.096518	0.27509	0.47842	0.60448	0.78324	0.99926	-0.7402	-2.0974	0.0018835	0.0099365	0.03596	0.15445
ADRBK1	4	-0.40664	-1.1059	0.0029299	0.014618	0.26879	0.99926	-0.58051	-1.5782	0.012191	0.041944	0.11451	0.31094
ADRBK2	4	-0.21668	-0.55607	0.056715	0.12532	0.57816	0.99926	-0.43357	-1.1123	0.053524	0.1282	0.26599	0.49453
ADSL	4	-1.201	-1.5566	0	0	0.11955	0.92303	-2.3065	-2.9555	0	0	0.0031214	0.039044
ADSS	4	-0.31526	-0.93246	0.012609	0.042632	0.3511	0.99926	-0.62823	-1.8579	0.0077957	0.030285	0.063177	0.21615
AP2A1	4	-0.019325	-0.059058	0.75378	0.83048	0.95291	0.99926	-1.3044	-3.9454	0	0	7.9676e-05	0.0050762
AP2A2	4	-0.25246	-0.79694	0.033747	0.087056	0.42549	0.99926	-0.64275	-2.0277	0.0065924	0.026593	0.042591	0.1712
AP1B1	4	-0.44461	-0.98297	0.0017789	0.010468	0.32562	0.99926	-0.21199	-0.4688	0.3045	0.45391	0.63921	0.79932
AP2B1	4	0.22158	0.52099	0.072778	0.15012	0.60237	0.99926	-1.0709	-2.4769	0	0	0.013253	0.087104
AP1G1	4	-0.42114	-1.3666	0.0024591	0.012912	0.17174	0.95718	-0.85035	-2.7575	0.00047088	0.0032799	0.0058243	0.054364
AEBP1	4	-0.22268	-0.85297	0.052111	0.11826	0.39368	0.99926	-0.46715	-1.7889	0.037985	0.098561	0.07363	0.2378
AES	4	-0.25558	-0.83907	0.032282	0.084474	0.40143	0.99926	-0.34702	-1.1397	0.11411	0.22339	0.25441	0.48379
CRISP1	4	0.054266	0.29483	0.73965	0.82011	0.76812	0.99926	-0.21899	-1.1895	0.29012	0.43903	0.23425	0.46197
AFM	4	0.29659	0.71619	0.017213	0.053374	0.47387	0.99926	-0.44011	-1.0535	0.050594	0.12303	0.29213	0.52164
AFP	4	0.16483	0.47201	0.1882	0.30493	0.63692	0.99926	-0.18305	-0.52395	0.3653	0.5152	0.60031	0.774
AGA	4	-0.033922	-0.10458	0.66086	0.75919	0.91671	0.99926	0.0054177	0.016706	0.9346	0.9596	0.98667	0.99364
ACAN	4	-0.0074219	-0.023777	0.83325	0.88828	0.98103	0.99926	-0.62261	-1.9937	0.008005	0.030696	0.046185	0.18004
AGER	4	-0.11417	-0.34264	0.26192	0.39119	0.73187	0.99926	0.4118	1.2359	0.089834	0.18759	0.21648	0.44249
AGL	4	-0.1776	-0.49511	0.10422	0.19731	0.62052	0.99926	-0.38672	-1.0779	0.081986	0.17567	0.28108	0.5104
AGRP	4	-0.28933	-1.0087	0.019306	0.05835	0.3131	0.99926	-0.21192	-0.73935	0.30471	0.45401	0.45969	0.67134
JAG1	4	0.11347	0.32397	0.3879	0.52013	0.74596	0.99926	0.61535	1.757	0.010726	0.038104	0.078916	0.24828
AGT	4	-0.16001	-0.60967	0.13493	0.23851	0.54208	0.99926	0.08079	0.30801	0.805	0.87425	0.75807	0.87567
AGTR1	4	0.080449	0.21554	0.57259	0.68559	0.82935	0.99926	-0.31611	-0.84633	0.14362	0.26356	0.39737	0.61908
AGTR2	4	-0.23002	-1.2787	0.047298	0.11051	0.20101	0.97945	-0.11303	-0.6284	0.54685	0.67932	0.52974	0.72622
APLNR	4	-0.771	-2.0338	0	0	0.041972	0.76328	-0.66453	-1.7617	0.0047612	0.020155	0.078126	0.24681
AGXT	4	-0.098095	-0.12162	0.32245	0.45403	0.9032	0.99926	0.90629	1.1271	0.00047088	0.0032799	0.2597	0.48797
NR0B1	4	0.093625	0.28204	0.49574	0.62017	0.77792	0.99926	0.21395	0.64515	0.40292	0.55157	0.51883	0.71805
AHCY	4	-1.4678	-3.0408	0	0	0.0023595	0.3873	-1.5117	-3.1367	0	0	0.0017086	0.028462
AHR	4	0.042145	0.18644	0.82112	0.8803	0.8521	0.99926	-0.66049	-2.9217	0.0049181	0.02076	0.0034814	0.041665
AHSG	4	-0.33684	-0.95153	0.0090514	0.033736	0.34134	0.99926	-0.78687	-2.2224	0.0010987	0.0065359	0.026256	0.12808
AIF1	4	-0.34079	-1.674	0.0084759	0.032117	0.094122	0.88685	-0.17798	-0.87511	0.37618	0.52616	0.38151	0.60589
AIM1	4	-0.090758	-0.25255	0.35437	0.48615	0.80061	0.99926	0.30416	0.84677	0.21907	0.35725	0.39712	0.61888
AK1	4	-0.20731	-0.83337	0.065505	0.1389	0.40464	0.99926	-0.32092	-1.2901	0.13922	0.2574	0.19702	0.42023
AK2	4	-0.032194	-0.20495	0.66939	0.76547	0.83761	0.99926	-0.063909	-0.40689	0.69858	0.80158	0.68409	0.8303
AK4	4	-0.35248	-1.3298	0.0076388	0.030265	0.18358	0.97067	-0.8309	-3.1336	0.00068017	0.0044983	0.0017269	0.028576
AKT1	4	-0.47268	-1.4418	0.001308	0.0085881	0.14935	0.94113	-0.50868	-1.5517	0.025271	0.072468	0.12073	0.32125
AKT2	4	-0.15116	-0.46966	0.15523	0.26515	0.6386	0.99926	-0.65976	-2.0397	0.0049704	0.020948	0.041375	0.16826
ALAD	4	-0.92327	-2.2049	0	0	0.027461	0.68597	-0.559	-1.3353	0.01465	0.047708	0.18179	0.40278
ALAS1	4	-0.93719	-2.667	0	0	0.0076532	0.50809	-0.73421	-2.0901	0.0020405	0.010492	0.036607	0.15636
ALAS2	4	-0.01689	-0.057644	0.76859	0.84069	0.95403	0.99926	-0.068429	-0.23357	0.68367	0.79002	0.81532	0.90813
ALB	4	-0.32579	-0.75885	0.010726	0.037956	0.44794	0.99926	-0.80922	-1.8769	0.00099409	0.0062521	0.06053	0.21081
ALCAM	4	-0.19273	-0.73598	0.082143	0.16443	0.46174	0.99926	-0.38315	-1.4631	0.085021	0.18058	0.14344	0.35312
ABCD1	4	-0.59047	-3.0108	0.00015696	0.0014837	0.0026054	0.40159	0.018761	0.095783	0.98211	0.98868	0.92369	0.96173
ALDH1A1	4	-0.2026	-0.87598	0.070476	0.14657	0.38104	0.99926	-0.63517	-2.7452	0.0073772	0.029096	0.0060472	0.055621
ALDH2	4	-0.23226	-0.96131	0.045257	0.10667	0.3364	0.99926	-0.64893	-2.6855	0.0060168	0.024662	0.007243	0.061201
ALDH3A1	4	-0.4684	-1.1641	0.0013603	0.008719	0.24438	0.99132	-1.2718	-3.1553	0	0	0.0016032	0.027531
ALDH1B1	4	-0.17859	-0.65642	0.10244	0.19475	0.51155	0.99926	-0.5614	-2.0618	0.014336	0.046982	0.039229	0.16346
ALDH1A3	4	-0.21224	-0.70605	0.060587	0.1312	0.48016	0.99926	0.098333	0.32721	0.7464	0.83495	0.74351	0.86619
ALDH3B1	4	0.023083	0.063277	0.95317	0.96915	0.94955	0.99926	-1.0583	-2.8942	0	0	0.003801	0.043347
ALDH3B2	4	-0.0097548	-0.042745	0.81698	0.8769	0.9659	0.99926	-0.13637	-0.59758	0.47994	0.62005	0.55012	0.73975
ALDH9A1	4	-0.14272	-0.56144	0.17585	0.29077	0.5745	0.99926	-0.49178	-1.9327	0.029718	0.081844	0.053272	0.19611
ALDH3A2	4	-0.0014139	-0.0055015	0.87333	0.91563	0.99561	0.99999	-0.58575	-2.2599	0.011824	0.041173	0.023827	0.1217
ABCD2	4	-0.29418	-1.3661	0.017737	0.054775	0.17191	0.95718	-0.18836	-0.87504	0.35452	0.50473	0.38155	0.6059
ALDOA	4	-1.066	-2.4611	0	0	0.013852	0.58965	-2.0451	-4.7067	0	0	2.5172e-06	0.00059396
ALDOB	4	-0.35913	-0.8319	0.0065401	0.026647	0.40547	0.99926	0.37913	0.87993	0.1206	0.23168	0.3789	0.60369
ALDOC	4	-0.2222	-0.78113	0.052373	0.11855	0.43473	0.99926	-0.99466	-3.4933	5.232e-05	0.00043422	0.0004771	0.013738
AKR1B1	4	-0.13994	-0.31439	0.18255	0.29861	0.75323	0.99926	-0.69075	-1.5393	0.0036101	0.016464	0.12372	0.32558
ALK	4	-0.23298	-1.3492	0.044734	0.10579	0.17728	0.96583	-0.1444	-0.8369	0.45869	0.60254	0.40265	0.62415
ALOX12	4	0.022235	0.093203	0.95956	0.97403	0.92574	0.99926	0.048937	0.20517	0.91262	0.94604	0.83744	0.91967
ALOX5	4	-0.28062	-1.3994	0.021713	0.063349	0.16169	0.94914	-0.056379	-0.28143	0.72234	0.81881	0.77838	0.88892
ALOX5AP	4	-0.26348	-1.4883	0.028305	0.076956	0.13667	0.93523	-0.24748	-1.3979	0.23879	0.38021	0.16213	0.37796
ALOX12B	4	-0.26348	-1.1925	0.028305	0.076956	0.23306	0.98834	-0.28235	-1.278	0.18391	0.31578	0.20125	0.42563
ALOX15	4	-0.6315	-1.451	5.232e-05	0.00061387	0.14679	0.93893	-0.33188	-0.76363	0.12808	0.24183	0.44509	0.65937
ALOX15B	4	-0.32054	-1.0352	0.011458	0.039652	0.30059	0.99926	-0.41169	-1.3297	0.065087	0.14745	0.18361	0.40436
ALPI	4	-0.68645	-1.6557	5.232e-05	0.00061387	0.097776	0.89282	-0.7868	-1.8992	0.0010987	0.0065359	0.05754	0.20507
ALPL	4	-0.34302	-1.3376	0.0083713	0.031866	0.18102	0.96974	-0.48334	-1.8849	0.032648	0.08821	0.059443	0.20894
ALPP	4	0.13456	0.54094	0.29216	0.42358	0.58855	0.99926	-0.086043	-0.34585	0.62889	0.74644	0.72945	0.85876
ALPPL2	4	-0.030653	-0.067906	0.67954	0.77335	0.94586	0.99926	0.59856	1.3261	0.013185	0.044405	0.18481	0.40551
ALX3	4	-0.15622	-0.55971	0.14362	0.25043	0.57568	0.99926	-0.37179	-1.332	0.093235	0.1925	0.18286	0.40381
AMBN	4	-0.060519	-0.29424	0.50317	0.62676	0.76857	0.99926	-0.059483	-0.28923	0.71271	0.8119	0.77241	0.88465
AMBP	4	-0.14628	-0.48182	0.16769	0.28089	0.62993	0.99926	-0.43543	-1.4334	0.052687	0.12671	0.15176	0.36407
AMD1	4	-0.75827	-1.7574	0	0	0.078842	0.85247	-0.029612	-0.069342	0.81097	0.87764	0.94472	0.97433
AMELX	4	-0.013761	-0.061053	0.78821	0.85567	0.95132	0.99926	-0.098607	-0.43762	0.5886	0.71347	0.66166	0.81375
AMELY	4	0.28549	0.75099	0.022916	0.065884	0.45266	0.99926	0.23346	0.61416	0.35505	0.50521	0.53911	0.73176
AMFR	4	-0.33806	-0.96399	0.0087375	0.032758	0.33505	0.99926	0.63798	1.8199	0.0082666	0.031293	0.068769	0.22831
AMH	4	-0.035575	-0.15954	0.65045	0.75109	0.87324	0.99926	-0.2465	-1.1055	0.24046	0.38217	0.26895	0.49791
AMHR2	4	-0.0021449	-0.0093457	0.86789	0.91178	0.99254	0.99966	-0.15475	-0.67428	0.43206	0.57825	0.50014	0.70401
AMPD1	4	-0.099821	-0.19747	0.31612	0.44852	0.84346	0.99926	-0.12068	-0.23901	0.52341	0.65824	0.81109	0.90626
AMPD2	4	-0.36696	-1.1763	0.0054413	0.023004	0.23947	0.99128	-0.84088	-2.6925	0.00057552	0.0038952	0.0070922	0.060515
AMPD3	4	-0.16569	-0.56063	0.12369	0.22363	0.57505	0.99926	-0.80012	-2.7057	0.0010987	0.0065359	0.0068162	0.059029
AMPH	4	0.11346	0.36128	0.3879	0.52013	0.71789	0.99926	-0.12592	-0.40078	0.50903	0.64632	0.68858	0.83286
BIN1	4	-0.068347	-0.20739	0.46052	0.58811	0.83571	0.99926	-0.042047	-0.1276	0.76785	0.84916	0.89847	0.94977
AMT	4	-0.19462	-0.8521	0.079632	0.16068	0.39416	0.99926	-0.025202	-0.11036	0.82677	0.88865	0.91212	0.95568
AMY1A	4	-0.15295	-0.45231	0.15094	0.25965	0.65105	0.99926	-0.71966	-2.1157	0.0023544	0.011652	0.034372	0.15068
AMY1B	4	-0.40629	-1.336	0.0029299	0.014618	0.18153	0.96974	-0.41687	-1.371	0.062104	0.14265	0.17038	0.3885
AMY1C	4	-0.71245	-1.598	5.232e-05	0.00061387	0.11004	0.9083	-0.34444	-0.77269	0.1162	0.22624	0.43971	0.65534
AMY2A	4	0.1504	0.42372	0.23251	0.35804	0.67177	0.99926	-0.24989	-0.70349	0.23419	0.37472	0.48175	0.68941
